"Etat/VT","fin","pv","type","id","oppaff","ecrire","lire","si","alors","fsi","sinon","pour","dans","nb","point","faire","fpour","ou","et","oppar","opprel","v","vrai","faux","litteral","po","pf","non","$","P","S","LD","LI","D","I","ORE","ANDE","ADDE","PE"
"35","r5","err","err","r5","err","r5","r5","r5","err","r5","r5","r5","err","err","err","err","r5","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
"36","err","r8","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","s37","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
"37","err","err","err","s24","err","err","err","err","err","err","err","err","err","s25","err","err","err","err","err","err","err","err","s26","s27","s28","s29","err","s30","err","err","err","err","err","err","err","err","46","22","23"
"38","err","err","err","s24","err","err","err","err","err","err","err","err","err","s25","err","err","err","err","err","err","err","err","s26","s27","s28","s29","err","s30","err","err","err","err","err","err","err","err","err","47","23"
"39","err","err","err","s24","err","err","err","err","err","err","err","err","err","s25","err","err","err","err","err","err","err","err","s26","s27","s28","s29","err","s30","err","err","err","err","err","err","err","err","err","err","48"
"40","err","err","err","s24","err","err","err","err","err","err","err","err","err","s25","err","err","err","err","err","err","err","err","s26","s27","s28","s29","err","s30","err","err","err","err","err","err","err","err","err","err","49"
"41","err","err","err","err","err","err","err","err","err","err","err","err","err","s50","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
"42","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","s37","err","err","err","err","err","err","err","err","s51","err","err","err","err","err","err","err","err","err","err","err","err"
"43","err","r28","err","err","err","err","err","err","r28","err","err","err","err","err","err","err","err","r28","r28","r28","r28","err","err","err","err","err","r28","err","err","err","err","err","err","err","err","err","err","err","err"
"44","err","err","err","s7","err","s8","s9","s10","err","err","err","s11","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","52","err","5","err","err","err","err"
"45","err","err","err","err","err","err","err","err","err","err","err","err","err","s53","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
"46","err","r14","err","err","err","err","err","err","r14","err","err","err","err","err","err","err","err","r14","s38","err","err","err","err","err","err","err","r14","err","err","err","err","err","err","err","err","err","err","err","err"
"47","err","r16","err","err","err","err","err","err","r16","err","err","err","err","err","err","err","err","r16","r16","s39","err","err","err","err","err","err","r16","err","err","err","err","err","err","err","err","err","err","err","err"
"48","err","r18","err","err","err","err","err","err","r18","err","err","err","err","err","err","err","err","r18","r18","r18","err","err","err","err","err","err","r18","err","err","err","err","err","err","err","err","err","err","err","err"
"49","err","r19","err","err","err","err","err","err","r19","err","err","err","err","err","err","err","err","r19","r19","r19","err","err","err","err","err","err","r19","err","err","err","err","err","err","err","err","err","err","err","err"
"50","err","r23","err","err","err","err","err","err","r23","err","err","err","err","err","err","err","err","r23","r23","r23","r23","err","err","err","err","err","r23","err","err","err","err","err","err","err","err","err","err","err","err"
"51","err","r27","err","err","err","err","err","err","r27","err","err","err","err","err","err","err","err","r27","r27","r27","r27","err","err","err","err","err","r27","err","err","err","err","err","err","err","err","err","err","err","err"
"52","err","err","err","s7","err","s8","s9","s10","err","s54","s55","s11","err","err","err","err","err","err","err","err","err","err","err","err","err","err","errr","err","err","err","err","err","err","err","15","err","err","err","err"
"53","err","err","err","err","err","err","err","err","err","err","err","err","err","err","s56","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
"54","err","r11","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
"55","err","err","err","s7","err","s8","s9","s10","err","err","err","s11","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","57","err","5","err","err","err","err"
"56","err","err","err","err","err","err","err","err","err","err","err","err","err","s58","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
"57","err","err","err","s7","err","s8","s9","s10","err","s59","err","s11","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","15","err","err","err","err"
"58","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","s60","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
"59","err","r12","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
"60","err","err","err","s7","err","s8","s9","s10","err","err","err","s11","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","61","err","5","err","err","err","err"
"61","err","err","err","s7",,"s8","s9","s10","err","err","err","s11","err","err","err","err","s62","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","15","err","err","err","err"
"62","err","r13","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err","err"
